Participant ID,Proficiency,VRExperience,Condition,Order,ErrorRate,ExcessHitRate,CognitiveLoad,Difficulty,MIDIFile,MeanAsynchrony,MeanRelativeAsynchrony,MeanIOIError,BPM,Component
7,4,1,D,2,2.083333333333343,0.0,-2.71875,5,120BPM Combined.mid,57.226562500000135,22.724867724867785,5.211640211640251,120,2.0
8,0,2,A,4,2.5,0.0,-1.71875,2,60BPM Snare & Hat.mid,34.00537634408604,6.736111111111126,3.291666666666643,60,-1.0
8,0,2,A,4,29.166666666666657,0.0,-1.71875,5,120BPM Combined.mid,110.46296296296325,43.255208333333435,6.402777777777784,120,2.0
8,0,2,A,4,2.083333333333343,0.0,-1.71875,4,60BPM Combined.mid,38.74327956989257,6.6493055555555705,12.214381720430127,60,1.0
8,0,2,A,4,3.125,0.0,-1.71875,1,60BPM Hat.mid,34.64381720430115,7.083333333333357,1.5624999999999853,60,-2.0
8,0,2,A,4,5.0,0.0,-1.71875,3,60BPM Kick & Hat.mid,13.7858072916666,-0.7963709677419144,8.534946236559104,60,0.0
8,0,2,B,3,0.0,0.0,-0.71875,1,60BPM Hat.mid,63.80208333333332,12.63440860215054,1.9892473118279779,60,-2.0
8,0,2,B,3,0.0,10.0,-0.71875,2,60BPM Snare & Hat.mid,59.505208333333314,11.908602150537636,11.129032258064544,60,-1.0
8,0,2,B,3,0.0,0.0,-0.71875,3,60BPM Kick & Hat.mid,30.98958333333337,5.591397849462373,18.65591397849463,60,0.0
8,0,2,B,3,6.25,0.0,-0.71875,4,60BPM Combined.mid,35.15625000000018,5.967741935483883,2.204301075268821,60,1.0
8,0,2,B,3,1.0416666666666572,3.125,-0.71875,5,120BPM Combined.mid,60.93750000000012,23.915343915343957,12.539682539682593,120,2.0
8,0,2,C,2,0.0,3.125,-0.71875,1,60BPM Hat.mid,41.92708333333341,8.010752688172065,1.6666666666666874,60,-2.0
8,0,2,C,2,0.0,10.0,-0.71875,2,60BPM Snare & Hat.mid,57.03125000000005,11.397849462365608,17.849462365591407,60,-1.0
8,0,2,C,2,5.0,0.0,-0.71875,3,60BPM Kick & Hat.mid,27.822580645161157,4.930555555555531,19.032258064516125,60,0.0
8,0,2,C,2,6.25,18.75,-0.71875,4,60BPM Combined.mid,43.22916666666673,8.440860215053787,27.63440860215053,60,1.0
8,0,2,C,2,17.708333333333343,13.541666666666666,-0.71875,5,120BPM Combined.mid,70.31810035842304,23.888888888888925,23.544973544973555,120,2.0
8,0,2,D,1,0.0,0.0,0.28125,1,60BPM Hat.mid,35.15625000000003,6.666666666666679,2.4731182795698645,60,-2.0
8,0,2,D,1,0.0,17.5,0.28125,2,60BPM Snare & Hat.mid,34.24479166666687,6.801075268817244,18.33333333333334,60,-1.0
8,0,2,D,1,10.0,0.0,0.28125,3,60BPM Kick & Hat.mid,43.888888888888765,-7.950191570881204,6.379310344827635,60,0.0
8,0,2,D,1,14.583333333333343,12.5,0.28125,4,60BPM Combined.mid,27.05938697317988,1.8353174603175006,16.63082437275984,60,1.0
8,0,2,D,1,4.166666666666657,5.208333333333334,0.28125,5,120BPM Combined.mid,53.68165784832455,21.155913978494638,12.539682539682506,120,2.0
